question,topic
Bir otobüs 5 saatte 300 km gidiyor. Hızı nedir?,problemler
Bu parçada anlatılmak istenen nedir?,paragraf
Bu metinde hangi olay anlatılıyor?,paragraf
"Bir kitap 300 sayfa, günde 30 sayfa okunuyor. Kaç günde biter?",problemler
Fiil nedir? Cümlede örnekle açıklayınız.,dilbilgisi
"Bir kitap 400 sayfa, günde 40 sayfa okunuyor. Kaç günde biter?",problemler
Bu paragrafta hangi olay anlatılıyor?,paragraf
Zarf nedir? Cümlede örnekle açıklayınız.,dilbilgisi
"Bir kitap 200 sayfa, günde 20 sayfa okunuyor. Kaç günde biter?",problemler
Özne nedir? Cümlede örnekle açıklayınız.,dilbilgisi
Bir otobüs 4 saatte 240 km gidiyor. Hızı nedir?,problemler
Zamir nedir? Cümlede örnekle açıklayınız.,dilbilgisi
Bu metnin ana fikri nedir?,paragraf
Özne-yüklem uyumu nedir?,dilbilgisi
Bir otobüs 3 saatte 180 km gidiyor. Hızı nedir?,problemler
3 arkadaş 180 TL'yi eşit paylaşıyor. Kaç TL?,problemler
Bu metinde hangi duygu ifade ediliyor?,paragraf
Bu paragrafta hangi karakterler var?,paragraf
Yüklem nedir? Cümlede örnekle açıklayınız.,dilbilgisi
